drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
VICTRELIS,DRUG INTERACTION,7,64.48,23.62,176.0,VICTRELIS + DRUG INTERACTION
SOLIRIS,TRANSFUSION,6,64.08,24.91,164.84,SOLIRIS + TRANSFUSION
EVEROLIMUS,DISEASE PROGRESSION,4,63.88,19.22,212.39,EVEROLIMUS + DISEASE PROGRESSION
DIPHENHYDRAMINE,TOXICITY TO VARIOUS AGENTS,5,63.47,22.85,176.27,DIPHENHYDRAMINE + TOXICITY TO VARIOUS AGENTS
APREPITANT,RASH,3,62.66,12.55,312.86,APREPITANT + RASH
DULERA,CHEST DISCOMFORT,3,62.48,16.46,237.26,DULERA + CHEST DISCOMFORT
METFORMIN,BLOOD SODIUM DECREASED,3,62.23,13.78,281.1,METFORMIN + BLOOD SODIUM DECREASED
ENBREL,INJECTION SITE REACTION,3,61.94,15.23,252.02,ENBREL + INJECTION SITE REACTION
NEXPLANON,NO ADVERSE EVENT,7,61.62,25.27,150.27,NEXPLANON + NO ADVERSE EVENT
ZYPREXA,FOETAL EXPOSURE DURING PREGNANCY,3,60.91,16.76,221.34,ZYPREXA + FOETAL EXPOSURE DURING PREGNANCY
TRUVADA,FOETAL EXPOSURE DURING PREGNANCY,3,60.91,16.76,221.34,TRUVADA + FOETAL EXPOSURE DURING PREGNANCY
GEMCITABINE,DISEASE PROGRESSION,3,60.73,15.39,239.68,GEMCITABINE + DISEASE PROGRESSION
GAMMAGARD LIQUID,MIGRAINE,3,60.63,16.49,222.89,GAMMAGARD LIQUID + MIGRAINE
JAKAFI,SPLENOMEGALY,43,60.48,23.91,152.98,JAKAFI + SPLENOMEGALY
AMPYRA,GAIT DISTURBANCE,7,60.35,23.74,153.41,AMPYRA + GAIT DISTURBANCE
CHAMPIX,PYREXIA,5,60.29,17.29,210.27,CHAMPIX + PYREXIA
METHOTREXATE,RHEUMATOID ARTHRITIS,6,59.91,21.36,168.03,METHOTREXATE + RHEUMATOID ARTHRITIS
ZINC,FEELING ABNORMAL,3,59.69,13.22,269.51,ZINC + FEELING ABNORMAL
ADDERALL,DEPRESSION,3,59.35,13.99,251.73,ADDERALL + DEPRESSION
MIRENA,ABORTION SPONTANEOUS,4,59.16,18.33,190.95,MIRENA + ABORTION SPONTANEOUS
CHANTIX,SUICIDAL IDEATION,5,59.15,21.4,163.51,CHANTIX + SUICIDAL IDEATION
MORPHINE SULFATE,DRUG HYPERSENSITIVITY,6,58.77,20.57,167.88,MORPHINE SULFATE + DRUG HYPERSENSITIVITY
CHANTIX,IRRITABILITY,3,58.53,16.3,210.23,CHANTIX + IRRITABILITY
DIAZEPAM,TACHYCARDIA,3,58.53,16.3,210.23,DIAZEPAM + TACHYCARDIA
AVANDIA,ADVERSE EVENT,3,58.52,16.2,211.42,AVANDIA + ADVERSE EVENT
ALLOPURINOL,ORAL PAIN,3,58.26,12.91,263.0,ALLOPURINOL + ORAL PAIN
DEPAKOTE,MEDICATION RESIDUE PRESENT,3,58.26,12.91,263.0,DEPAKOTE + MEDICATION RESIDUE PRESENT
LIPITOR,GLUCOSE TOLERANCE IMPAIRED,7,57.96,12.01,279.63,LIPITOR + GLUCOSE TOLERANCE IMPAIRED
XELODA,NEOPLASM PROGRESSION,7,57.88,24.02,139.46,XELODA + NEOPLASM PROGRESSION
LANSOPRAZOLE,MYALGIA,7,57.86,23.84,140.42,LANSOPRAZOLE + MYALGIA
ENBREL,PSORIASIS,5,57.73,19.6,170.05,ENBREL + PSORIASIS
TYVASO,THROAT IRRITATION,14,57.66,27.07,122.82,TYVASO + THROAT IRRITATION
GLIVEC,DEATH,17,57.58,26.13,126.86,GLIVEC + DEATH
CISPLATIN,RASH GENERALISED,3,57.41,16.07,205.06,CISPLATIN + RASH GENERALISED
ONDANSETRON,RASH GENERALISED,3,57.41,16.07,205.06,ONDANSETRON + RASH GENERALISED
DILAUDID,PULMONARY EMBOLISM,4,57.05,17.87,182.09,DILAUDID + PULMONARY EMBOLISM
AZITHROMYCIN,PULMONARY EMBOLISM,3,56.1,14.81,212.42,AZITHROMYCIN + PULMONARY EMBOLISM
AMLODIPINE,PERIPHERAL COLDNESS,3,55.43,13.08,234.89,AMLODIPINE + PERIPHERAL COLDNESS
DRONEDARONE,HAEMORRHAGE,11,55.34,26.84,114.07,DRONEDARONE + HAEMORRHAGE
FENTANYL,TOXICITY TO VARIOUS AGENTS,4,55.23,18.07,168.87,FENTANYL + TOXICITY TO VARIOUS AGENTS
SOBRIL,DYSPNOEA,3,55.23,5.73,531.89,SOBRIL + DYSPNOEA
LITHIONIT,DYSPNOEA,3,55.23,5.73,531.89,LITHIONIT + DYSPNOEA
DILANTIN,CONVULSION,3,54.71,14.21,210.66,DILANTIN + CONVULSION
CETIRIZINE 10 MG,PRODUCT QUALITY ISSUE,16,53.47,28.54,100.18,CETIRIZINE 10 MG + PRODUCT QUALITY ISSUE
MIRENA,SCAR,3,53.37,14.11,201.84,MIRENA + SCAR
LANTUS,PANCREATIC CARCINOMA,3,53.27,14.74,192.55,LANTUS + PANCREATIC CARCINOMA
MOTRIN,DEEP VEIN THROMBOSIS,3,53.27,14.74,192.55,MOTRIN + DEEP VEIN THROMBOSIS
LEVAQUIN,DEEP VEIN THROMBOSIS,3,53.27,14.74,192.55,LEVAQUIN + DEEP VEIN THROMBOSIS
TYSABRI,MULTIPLE SCLEROSIS,8,53.22,21.87,129.53,TYSABRI + MULTIPLE SCLEROSIS
PICATO,DRUG ADMINISTRATION ERROR,4,53.02,17.39,161.63,PICATO + DRUG ADMINISTRATION ERROR
ENBREL,INJECTION SITE PAIN,8,52.78,22.54,123.6,ENBREL + INJECTION SITE PAIN
LEVAQUIN,PULMONARY EMBOLISM,4,52.65,16.67,166.29,LEVAQUIN + PULMONARY EMBOLISM
DULERA,PRODUCT QUALITY ISSUE,4,52.63,15.58,177.78,DULERA + PRODUCT QUALITY ISSUE
ZOMIG,INTENTIONAL DRUG MISUSE,3,52.36,14.71,186.31,ZOMIG + INTENTIONAL DRUG MISUSE
CETIRIZINE,EXTRA DOSE ADMINISTERED,3,52.36,14.71,186.31,CETIRIZINE + EXTRA DOSE ADMINISTERED
ATRIPLA,MALAISE,3,51.85,8.63,311.56,ATRIPLA + MALAISE
OXYCODONE HCL,DRUG ABUSE,3,51.81,14.54,184.59,OXYCODONE HCL + DRUG ABUSE
EXEMESTANE,BREAST CANCER,4,51.52,15.26,173.98,EXEMESTANE + BREAST CANCER
DULERA,DRUG DOSE OMISSION,4,50.98,15.1,172.14,DULERA + DRUG DOSE OMISSION
TORADOL,ABDOMINAL PAIN,3,50.94,11.3,229.65,TORADOL + ABDOMINAL PAIN
ALBUTEROL,ASTHMA,3,50.24,14.19,177.84,ALBUTEROL + ASTHMA
CLOPIDOGREL,URINARY TRACT INFECTION,4,50.07,15.58,160.93,CLOPIDOGREL + URINARY TRACT INFECTION
GADAVIST,NAUSEA,5,49.89,11.87,209.67,GADAVIST + NAUSEA
FLUCONAZOLE,DEEP VEIN THROMBOSIS,3,49.71,13.85,178.42,FLUCONAZOLE + DEEP VEIN THROMBOSIS
VERAPAMIL,RENAL FAILURE ACUTE,3,49.68,13.6,181.42,VERAPAMIL + RENAL FAILURE ACUTE
DABIGATRAN,HAEMORRHAGE,12,49.51,24.81,98.82,DABIGATRAN + HAEMORRHAGE
EPIRUBICIN,CHEST PAIN,3,49.36,11.66,208.89,EPIRUBICIN + CHEST PAIN
DIANEAL LOW CALCIUM (ULTRABAG),PERITONITIS,3,49.24,13.37,181.39,DIANEAL LOW CALCIUM (ULTRABAG) + PERITONITIS
MIRTAZAPINE,SUICIDAL IDEATION,3,49.08,13.84,174.08,MIRTAZAPINE + SUICIDAL IDEATION
DIANEAL LOW CALCIUM (ULTRABAG),HERNIA,4,49.02,15.76,152.5,DIANEAL LOW CALCIUM (ULTRABAG) + HERNIA
SERTRALINE,IRRITABILITY,3,48.75,13.69,173.62,SERTRALINE + IRRITABILITY
TRACLEER,PULMONARY ARTERIAL HYPERTENSION,3,48.7,13.34,177.74,TRACLEER + PULMONARY ARTERIAL HYPERTENSION
FENTORA,DEATH,3,48.48,8.07,291.19,FENTORA + DEATH
LANSOPRAZOLE DR CAPSULES 15MG OTC,PRODUCT QUALITY ISSUE,5,48.34,16.47,141.88,LANSOPRAZOLE DR CAPSULES 15MG OTC + PRODUCT QUALITY ISSUE
RISPERIDONE,TOXICITY TO VARIOUS AGENTS,3,48.13,13.6,170.29,RISPERIDONE + TOXICITY TO VARIOUS AGENTS
CITALOPRAM,HYPOKINESIA,3,48.02,12.9,178.73,CITALOPRAM + HYPOKINESIA
CRESTOR,WITHDRAWAL SYNDROME,3,48.02,12.9,178.73,CRESTOR + WITHDRAWAL SYNDROME
CORICIDIN HBP COLD AND FLU,DRUG EFFECT DECREASED,13,46.82,24.06,91.08,CORICIDIN HBP COLD AND FLU + DRUG EFFECT DECREASED
ATRIPLA,DIARRHOEA,3,46.71,7.78,280.53,ATRIPLA + DIARRHOEA
LEVOTHYROXINE SODIUM,DYSGEUSIA,4,46.7,15.39,141.68,LEVOTHYROXINE SODIUM + DYSGEUSIA
CLARITHROMYCIN,WEIGHT DECREASED,3,46.61,11.02,197.11,CLARITHROMYCIN + WEIGHT DECREASED
LEVOTHYROXINE.,WEIGHT DECREASED,3,46.61,11.02,197.11,LEVOTHYROXINE. + WEIGHT DECREASED
DEPAKOTE,GRAND MAL CONVULSION,3,46.61,11.02,197.11,DEPAKOTE + GRAND MAL CONVULSION
MIRENA,VAGINAL HAEMORRHAGE,4,46.47,14.87,145.2,MIRENA + VAGINAL HAEMORRHAGE
XARELTO,HAEMATOMA,3,46.45,12.1,178.29,XARELTO + HAEMATOMA
GADAVIST,VOMITING,4,46.36,11.52,186.6,GADAVIST + VOMITING
VALSARTAN,DRUG INTERACTION,4,46.22,13.36,159.93,VALSARTAN + DRUG INTERACTION
APREPITANT,VOMITING,3,46.14,9.26,229.94,APREPITANT + VOMITING
NEXPLANON,DEVICE DISLOCATION,3,46.05,13.08,162.05,NEXPLANON + DEVICE DISLOCATION
LOVENOX,RENAL FAILURE ACUTE,3,45.85,12.67,165.86,LOVENOX + RENAL FAILURE ACUTE
OLANZAPINE,RENAL FAILURE ACUTE,3,45.85,12.67,165.86,OLANZAPINE + RENAL FAILURE ACUTE
MIRALAX,INCORRECT DRUG ADMINISTRATION DURATION,5,45.76,16.81,124.53,MIRALAX + INCORRECT DRUG ADMINISTRATION DURATION
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,PLATELET COUNT DECREASED,3,45.23,10.04,203.71,HYDROCODONE BITARTRATE AND ACETAMINOPHEN + PLATELET COUNT DECREASED
COPAXONE,MULTIPLE SCLEROSIS RELAPSE,3,44.95,12.43,162.5,COPAXONE + MULTIPLE SCLEROSIS RELAPSE
DEPAKOTE,MENTAL DISORDER,4,44.73,12.93,154.72,DEPAKOTE + MENTAL DISORDER
DIPHENHYDRAMINE,PULMONARY OEDEMA,3,44.73,12.72,157.24,DIPHENHYDRAMINE + PULMONARY OEDEMA
COMBIVENT,PRODUCT QUALITY ISSUE,7,44.73,18.11,110.47,COMBIVENT + PRODUCT QUALITY ISSUE
PEGINTRON,PYREXIA,3,44.67,9.92,201.18,PEGINTRON + PYREXIA
TYSABRI,MUSCULOSKELETAL DISORDER,3,44.5,10.99,180.2,TYSABRI + MUSCULOSKELETAL DISORDER
OMEGA 3,HAEMOGLOBIN DECREASED,3,44.4,9.86,199.94,OMEGA 3 + HAEMOGLOBIN DECREASED
PEGASYS,WHITE BLOOD CELL COUNT DECREASED,5,44.39,16.28,121.02,PEGASYS + WHITE BLOOD CELL COUNT DECREASED
SPIRIVA,COELIAC DISEASE,3,43.71,11.14,171.54,SPIRIVA + COELIAC DISEASE
TYKERB,BREAST CANCER,3,43.71,11.14,171.54,TYKERB + BREAST CANCER
FLUOXETINE,URINARY TRACT INFECTION,5,43.61,15.55,122.27,FLUOXETINE + URINARY TRACT INFECTION
LEXAPRO,NIGHTMARE,3,43.6,12.33,154.19,LEXAPRO + NIGHTMARE
CORICIDIN HBP COLD AND FLU,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,4,43.59,13.97,135.98,CORICIDIN HBP COLD AND FLU + DRUG INEFFECTIVE FOR UNAPPROVED INDICATION
DIANEAL LOW CALCIUM,FLUID OVERLOAD,11,43.0,19.25,96.02,DIANEAL LOW CALCIUM + FLUID OVERLOAD
SANDOSTATIN LAR DEPOT,BACK PAIN,3,42.82,10.91,167.99,SANDOSTATIN LAR DEPOT + BACK PAIN
MORPHINE SULFATE,DEHYDRATION,3,42.79,11.76,155.63,MORPHINE SULFATE + DEHYDRATION
SALBUTAMOL,LOCAL SWELLING,3,42.79,11.76,155.63,SALBUTAMOL + LOCAL SWELLING
DOCETAXEL,DISEASE PROGRESSION,3,42.5,11.45,157.75,DOCETAXEL + DISEASE PROGRESSION
WELLBUTRIN,SUICIDAL IDEATION,3,42.37,12.08,148.66,WELLBUTRIN + SUICIDAL IDEATION
TYSABRI,MULTIPLE SCLEROSIS RELAPSE,16,42.31,22.83,78.42,TYSABRI + MULTIPLE SCLEROSIS RELAPSE
ONDANSETRON,SWELLING FACE,4,41.82,13.89,125.96,ONDANSETRON + SWELLING FACE
LAMICTAL,CONVULSION,6,41.57,16.32,105.89,LAMICTAL + CONVULSION
LOSARTAN,HAEMATURIA,5,41.31,15.01,113.69,LOSARTAN + HAEMATURIA
TOPROL XL,NIGHT SWEATS,3,41.14,11.77,143.87,TOPROL XL + NIGHT SWEATS
SYNTHROID,WOUND,3,41.13,10.17,166.38,SYNTHROID + WOUND
FLUOROURACIL,SEPSIS,3,41.08,11.73,143.93,FLUOROURACIL + SEPSIS
EFFEXOR XR,HEART RATE INCREASED,6,41.03,16.32,103.15,EFFEXOR XR + HEART RATE INCREASED
JAKAFI,EYE INFECTION,6,40.99,4.93,340.75,JAKAFI + EYE INFECTION
YASMIN,THROMBOSIS,3,40.92,11.71,142.99,YASMIN + THROMBOSIS
TARCEVA,DEATH,5,40.66,10.86,152.18,TARCEVA + DEATH
SANDOSTATIN LAR,DEATH,5,40.66,10.86,152.18,SANDOSTATIN LAR + DEATH
AMIODARONE,ATRIAL FIBRILLATION,3,40.52,11.58,141.76,AMIODARONE + ATRIAL FIBRILLATION
PEGASYS,DRUG INTERACTION,10,40.45,18.63,87.79,PEGASYS + DRUG INTERACTION
SANDOSTATIN LAR DEPOT,FALL,4,40.44,11.31,144.69,SANDOSTATIN LAR DEPOT + FALL
VYVANSE,NO ADVERSE EVENT,3,40.15,11.21,143.8,VYVANSE + NO ADVERSE EVENT
REBIF,CONVULSION,3,39.78,10.85,145.77,REBIF + CONVULSION
OXALIPLATIN,SEPSIS,3,39.29,11.25,137.25,OXALIPLATIN + SEPSIS
KEPPRA,CONVULSION,8,39.27,17.41,88.58,KEPPRA + CONVULSION
BENADRYL,THROMBOCYTOPENIA,3,38.95,10.94,138.65,BENADRYL + THROMBOCYTOPENIA
SUBOXONE,DRUG ABUSE,3,38.83,11.13,135.46,SUBOXONE + DRUG ABUSE
LIPITOR,DIABETIC NEUROPATHY,7,38.63,9.96,149.8,LIPITOR + DIABETIC NEUROPATHY
XARELTO,CEREBRAL HAEMORRHAGE,4,38.57,12.31,120.9,XARELTO + CEREBRAL HAEMORRHAGE
OXYTROL FOR WOMEN,PRODUCT PACKAGING ISSUE,3,38.49,9.83,150.81,OXYTROL FOR WOMEN + PRODUCT PACKAGING ISSUE
AVASTIN,DISEASE PROGRESSION,5,38.34,13.92,105.66,AVASTIN + DISEASE PROGRESSION
ATORVASTATIN,WITHDRAWAL SYNDROME,3,38.11,10.29,141.15,ATORVASTATIN + WITHDRAWAL SYNDROME
PROZAC,INJURY,3,38.11,10.8,134.5,PROZAC + INJURY
CELEBREX,ACTIVITIES OF DAILY LIVING IMPAIRED,3,37.99,10.62,135.85,CELEBREX + ACTIVITIES OF DAILY LIVING IMPAIRED
VANCOMYCIN,PYREXIA,5,37.67,12.19,116.38,VANCOMYCIN + PYREXIA
ADVAIR,PANIC ATTACK,3,37.24,10.52,131.83,ADVAIR + PANIC ATTACK
COZAAR,PARAESTHESIA,3,37.15,10.04,137.53,COZAAR + PARAESTHESIA
ENBREL,DIVERTICULITIS,3,37.15,10.04,137.53,ENBREL + DIVERTICULITIS
LUNESTA,INSOMNIA,3,36.78,9.1,148.61,LUNESTA + INSOMNIA
GABAPENTIN,MENTAL STATUS CHANGES,3,36.53,9.99,133.63,GABAPENTIN + MENTAL STATUS CHANGES
PREDNISOLONE,PANIC ATTACK,3,36.51,10.32,129.15,PREDNISOLONE + PANIC ATTACK
ONFI,CONVULSION,3,36.46,10.06,132.11,ONFI + CONVULSION
CELEBREX,ARTHROPATHY,4,36.08,11.94,109.01,CELEBREX + ARTHROPATHY
HYDROMORPHONE,HEADACHE,3,36.08,6.01,216.51,HYDROMORPHONE + HEADACHE
LETAIRIS,NASAL CONGESTION,105,36.01,20.91,62.02,LETAIRIS + NASAL CONGESTION
MIRENA,DEVICE EXPULSION,5,35.91,13.21,97.61,MIRENA + DEVICE EXPULSION
CORICIDIN HBP COLD AND FLU,THERAPEUTIC RESPONSE DECREASED,4,35.89,11.75,109.57,CORICIDIN HBP COLD AND FLU + THERAPEUTIC RESPONSE DECREASED
CISPLATIN,NEUTROPENIA,3,35.84,10.32,124.4,CISPLATIN + NEUTROPENIA
EPIRUBICIN,PYREXIA,3,35.73,8.47,150.77,EPIRUBICIN + PYREXIA
CLINDAMYCIN,PYREXIA,3,35.73,8.47,150.77,CLINDAMYCIN + PYREXIA
KETOPROFEN,PYREXIA,3,35.73,8.47,150.77,KETOPROFEN + PYREXIA
YASMIN,ABDOMINAL PAIN,10,35.62,16.37,77.52,YASMIN + ABDOMINAL PAIN
MIRALAX,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,5,35.55,13.22,95.58,MIRALAX + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
DIANEAL LOW CALCIUM (ULTRABAG),FLUID OVERLOAD,4,34.99,11.62,105.36,DIANEAL LOW CALCIUM (ULTRABAG) + FLUID OVERLOAD
COZAAR,HYPOAESTHESIA,3,34.95,9.45,129.24,COZAAR + HYPOAESTHESIA
BENDROFLUMETHIAZIDE,CEREBROVASCULAR ACCIDENT,3,34.91,9.64,126.38,BENDROFLUMETHIAZIDE + CEREBROVASCULAR ACCIDENT
OXYCONTIN,SPLENOMEGALY,3,34.85,9.96,121.94,OXYCONTIN + SPLENOMEGALY
EVEROLIMUS,WEIGHT DECREASED,4,34.78,10.57,114.43,EVEROLIMUS + WEIGHT DECREASED
ATORVASTATIN,MENTAL STATUS CHANGES,3,34.64,9.48,126.6,ATORVASTATIN + MENTAL STATUS CHANGES
AMLODIPINE,HEPATIC FUNCTION ABNORMAL,3,34.63,9.06,132.34,AMLODIPINE + HEPATIC FUNCTION ABNORMAL
TAXOTERE,BREAST CANCER,4,34.33,10.88,108.36,TAXOTERE + BREAST CANCER
JAKAFI,PLATELET COUNT ABNORMAL,10,34.26,7.5,156.55,JAKAFI + PLATELET COUNT ABNORMAL
ALENDRONIC ACID,LOCAL SWELLING,3,34.22,9.65,121.39,ALENDRONIC ACID + LOCAL SWELLING
LETAIRIS,SEASONAL ALLERGY,7,34.0,4.18,276.53,LETAIRIS + SEASONAL ALLERGY
CETIRIZINE 10 MG,NIGHTMARE,3,33.78,9.64,118.37,CETIRIZINE 10 MG + NIGHTMARE
TYSABRI,INTERVERTEBRAL DISC PROTRUSION,3,33.37,8.74,127.45,TYSABRI + INTERVERTEBRAL DISC PROTRUSION
SANDOSTATIN LAR DEPOT,WEIGHT DECREASED,3,33.28,8.51,130.17,SANDOSTATIN LAR DEPOT + WEIGHT DECREASED
DEPAKOTE,MANIA,3,33.28,8.51,130.17,DEPAKOTE + MANIA
DEPAKOTE,FEELING JITTERY,3,33.28,8.51,130.17,DEPAKOTE + FEELING JITTERY
SERTRALINE,AGITATION,3,33.12,9.57,114.62,SERTRALINE + AGITATION
XELJANZ,ABDOMINAL DISCOMFORT,3,33.07,9.33,117.22,XELJANZ + ABDOMINAL DISCOMFORT
BISOPROLOL,MYALGIA,5,32.87,12.25,88.24,BISOPROLOL + MYALGIA
OMEPRAZOLE,BLINDNESS UNILATERAL,3,32.58,8.07,131.5,OMEPRAZOLE + BLINDNESS UNILATERAL
OXYTROL FOR WOMEN,DRUG ADMINISTERED AT INAPPROPRIATE SITE,7,32.58,13.49,78.69,OXYTROL FOR WOMEN + DRUG ADMINISTERED AT INAPPROPRIATE SITE
ATORVASTATIN,HAEMATURIA,5,32.56,11.91,89.02,ATORVASTATIN + HAEMATURIA
HUMIRA,DEVICE ISSUE,3,32.48,8.51,124.02,HUMIRA + DEVICE ISSUE
DIANEAL PD2 WITH 1.5% DEXTROSE,DEATH,3,32.31,6.49,160.76,DIANEAL PD2 WITH 1.5% DEXTROSE + DEATH
DIAZEPAM,TOXICITY TO VARIOUS AGENTS,3,32.05,9.29,110.55,DIAZEPAM + TOXICITY TO VARIOUS AGENTS
OXYTROL FOR WOMEN,DRUG EFFECT DECREASED,15,32.05,17.34,59.23,OXYTROL FOR WOMEN + DRUG EFFECT DECREASED
LOSARTAN,ELECTROCARDIOGRAM QT PROLONGED,3,32.0,9.04,113.32,LOSARTAN + ELECTROCARDIOGRAM QT PROLONGED
MIRENA,FEAR,3,32.0,9.04,113.32,MIRENA + FEAR
JAKAFI,INCREASED APPETITE,23,31.83,12.08,83.89,JAKAFI + INCREASED APPETITE
DEXAMETHASONE,NEUTROPENIA,5,31.77,11.86,85.1,DEXAMETHASONE + NEUTROPENIA
TYLENOL,NECK PAIN,3,31.69,9.11,110.27,TYLENOL + NECK PAIN
EXEMESTANE,DECREASED APPETITE,3,31.68,8.46,118.69,EXEMESTANE + DECREASED APPETITE
EXEMESTANE,RASH,4,31.51,9.39,105.74,EXEMESTANE + RASH
SINGULAIR,ASTHMA,3,31.5,9.09,109.16,SINGULAIR + ASTHMA
TECFIDERA,GASTRIC DISORDER,8,31.48,12.73,77.82,TECFIDERA + GASTRIC DISORDER
DIANEAL LOW CALCIUM,BLOOD PRESSURE FLUCTUATION,3,31.46,7.46,132.61,DIANEAL LOW CALCIUM + BLOOD PRESSURE FLUCTUATION
LEXAPRO,INCREASED APPETITE,3,31.37,9.09,108.32,LEXAPRO + INCREASED APPETITE
TOPAMAX,CONVULSION,3,31.24,8.78,111.21,TOPAMAX + CONVULSION
AMITRIPTYLINE,NIGHT SWEATS,3,31.14,9.04,107.28,AMITRIPTYLINE + NIGHT SWEATS
TAMOXIFEN (UNKNOWN),DRUG INTOLERANCE,3,31.01,9.01,106.79,TAMOXIFEN (UNKNOWN) + DRUG INTOLERANCE
COZAAR,WEIGHT INCREASED,4,30.81,9.38,101.23,COZAAR + WEIGHT INCREASED
RAMIPRIL,MYALGIA,6,30.67,12.42,75.72,RAMIPRIL + MYALGIA
EVEROLIMUS,BREAST CANCER,3,30.59,8.29,112.87,EVEROLIMUS + BREAST CANCER
JAKAFI,PLATELET COUNT DECREASED,133,30.46,20.71,44.82,JAKAFI + PLATELET COUNT DECREASED
ESTRADIOL,FALL,3,30.15,7.47,121.59,ESTRADIOL + FALL
DIANEAL LOW CALCIUM,HYPOPHAGIA,4,30.12,8.74,103.76,DIANEAL LOW CALCIUM + HYPOPHAGIA
CLOZARIL,WHITE BLOOD CELL COUNT DECREASED,4,30.07,10.16,88.94,CLOZARIL + WHITE BLOOD CELL COUNT DECREASED
CLOZARIL,RED BLOOD CELL COUNT DECREASED,3,30.04,8.74,103.28,CLOZARIL + RED BLOOD CELL COUNT DECREASED
CLOZARIL,NEUTROPENIA,3,30.04,8.74,103.28,CLOZARIL + NEUTROPENIA
AVONEX,COGNITIVE DISORDER,5,29.85,10.48,84.96,AVONEX + COGNITIVE DISORDER
AUBAGIO,MUSCULAR WEAKNESS,4,29.8,9.88,89.83,AUBAGIO + MUSCULAR WEAKNESS
XYZAL,NAUSEA,3,29.75,5.98,147.97,XYZAL + NAUSEA
ZETIA,GASTROINTESTINAL HAEMORRHAGE,3,29.67,8.47,103.97,ZETIA + GASTROINTESTINAL HAEMORRHAGE
PAXIL,DEPRESSION,5,29.65,10.73,81.97,PAXIL + DEPRESSION
REMICADE,THERAPEUTIC RESPONSE DECREASED,3,29.53,8.46,103.1,REMICADE + THERAPEUTIC RESPONSE DECREASED
KLONOPIN,WRONG TECHNIQUE IN DRUG USAGE PROCESS,3,29.43,8.51,101.77,KLONOPIN + WRONG TECHNIQUE IN DRUG USAGE PROCESS
METOPROLOL TARTRATE,DRUG INTERACTION,4,29.4,9.23,93.61,METOPROLOL TARTRATE + DRUG INTERACTION
CISPLATIN,SWELLING FACE,3,29.38,8.54,101.12,CISPLATIN + SWELLING FACE
XGEVA,INVESTIGATION,4,29.37,9.75,88.53,XGEVA + INVESTIGATION
CETIRIZINE,PRODUCT QUALITY ISSUE,7,29.22,12.37,69.03,CETIRIZINE + PRODUCT QUALITY ISSUE
ISOSORBIDE,WEIGHT DECREASED,3,29.12,7.64,111.04,ISOSORBIDE + WEIGHT DECREASED
PROCHLORPERAZINE,WEIGHT DECREASED,3,29.12,7.64,111.04,PROCHLORPERAZINE + WEIGHT DECREASED
POTASSIUM CHLORIDE.,ABDOMINAL PAIN,3,29.1,7.45,113.65,POTASSIUM CHLORIDE. + ABDOMINAL PAIN
SINGULAIR,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,28.87,8.38,99.46,SINGULAIR + CHRONIC OBSTRUCTIVE PULMONARY DISEASE
CIPRO,DRUG HYPERSENSITIVITY,4,28.86,9.17,90.83,CIPRO + DRUG HYPERSENSITIVITY
CORICIDIN HBP COLD AND FLU,SOMNOLENCE,14,28.8,15.44,53.73,CORICIDIN HBP COLD AND FLU + SOMNOLENCE
PICATO,INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION,4,28.75,9.74,84.9,PICATO + INAPPROPRIATE SCHEDULE OF DRUG ADMINISTRATION
COUMADIN,VIRAL INFECTION,3,28.69,8.08,101.95,COUMADIN + VIRAL INFECTION
ENBREL,RHEUMATOID ARTHRITIS,3,28.57,7.99,102.19,ENBREL + RHEUMATOID ARTHRITIS
EVEROLIMUS,DECREASED APPETITE,3,28.51,7.73,105.09,EVEROLIMUS + DECREASED APPETITE
SABRIL (FOR ORAL SOLUTION),PNEUMONIA,3,28.22,7.4,107.56,SABRIL (FOR ORAL SOLUTION) + PNEUMONIA
PARACETAMOL,HAEMOPTYSIS,3,28.21,7.89,100.9,PARACETAMOL + HAEMOPTYSIS
XELODA,FEBRILE NEUTROPENIA,3,28.21,8.19,97.11,XELODA + FEBRILE NEUTROPENIA
ERLOTINIB TABLET,INCORRECT DOSE ADMINISTERED,4,28.14,9.54,83.02,ERLOTINIB TABLET + INCORRECT DOSE ADMINISTERED
METFORMIN,METABOLIC ACIDOSIS,5,28.1,10.05,78.58,METFORMIN + METABOLIC ACIDOSIS
EVEROLIMUS,RASH,4,28.01,8.53,91.92,EVEROLIMUS + RASH
AVONEX,UNDERDOSE,4,28.0,8.8,89.11,AVONEX + UNDERDOSE
JAKAFI,HAEMATOCRIT DECREASED,20,27.62,10.35,73.71,JAKAFI + HAEMATOCRIT DECREASED
SODIUM BICARBONATE,DYSPNOEA,3,27.61,4.6,165.61,SODIUM BICARBONATE + DYSPNOEA
DEXAMETHASONE,RASH GENERALISED,3,27.56,7.96,95.5,DEXAMETHASONE + RASH GENERALISED
IBUPROFEN,RENAL IMPAIRMENT,3,27.55,7.91,96.01,IBUPROFEN + RENAL IMPAIRMENT
