drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
CICLOSPORIN,CHRONIC GRAFT VERSUS HOST DISEASE,5,1247.62,291.57,5338.52,CICLOSPORIN + CHRONIC GRAFT VERSUS HOST DISEASE
SOLIRIS,BONE MARROW TRANSPLANT,4,1245.38,135.44,11451.18,SOLIRIS + BONE MARROW TRANSPLANT
FLUDARABINE,GRAFT VERSUS HOST DISEASE,4,1209.94,241.97,6050.19,FLUDARABINE + GRAFT VERSUS HOST DISEASE
STRATTERA,AGITATION,3,1196.52,120.32,11898.49,STRATTERA + AGITATION
LITHIONIT,AGITATION,3,1196.52,120.32,11898.49,LITHIONIT + AGITATION
FENTANYL,PULMONARY CONGESTION,3,1196.52,120.32,11898.49,FENTANYL + PULMONARY CONGESTION
SOBRIL,AGITATION,3,1196.52,120.32,11898.49,SOBRIL + AGITATION
CIRCADIN,AGITATION,3,1196.52,120.32,11898.49,CIRCADIN + AGITATION
UROMITEXAN,DISEASE PROGRESSION,14,1177.54,261.81,5296.21,UROMITEXAN + DISEASE PROGRESSION
ONDANSETRON,CAPILLARY LEAK SYNDROME,3,1150.38,115.83,11425.0,ONDANSETRON + CAPILLARY LEAK SYNDROME
CISPLATIN,CAPILLARY LEAK SYNDROME,3,1150.38,115.83,11425.0,CISPLATIN + CAPILLARY LEAK SYNDROME
EXEMESTANE,ONYCHOCLASIS,3,1109.44,196.95,6249.67,EXEMESTANE + ONYCHOCLASIS
EPOGEN,NEPHROGENIC SYSTEMIC FIBROSIS,5,1083.7,199.94,5873.82,EPOGEN + NEPHROGENIC SYSTEMIC FIBROSIS
STERILE WATER FOR INJECTION,RENAL FAILURE ACUTE,5,1036.04,118.8,9035.19,STERILE WATER FOR INJECTION + RENAL FAILURE ACUTE
EXEMESTANE,MOUTH ULCERATION,5,1018.47,259.8,3992.54,EXEMESTANE + MOUTH ULCERATION
EVEROLIMUS,ONYCHOCLASIS,3,998.4,179.45,5554.88,EVEROLIMUS + ONYCHOCLASIS
CHLORTALIDONE,ELECTROCARDIOGRAM QT PROLONGED,3,998.0,155.44,6407.83,CHLORTALIDONE + ELECTROCARDIOGRAM QT PROLONGED
CARBAMAZEPINE,MATERNAL DRUGS AFFECTING FOETUS,7,969.79,283.85,3313.41,CARBAMAZEPINE + MATERNAL DRUGS AFFECTING FOETUS
BUSULFAN,GRAFT VERSUS HOST DISEASE,3,936.09,179.83,4872.77,BUSULFAN + GRAFT VERSUS HOST DISEASE
CYCLOPHOSPHAMIDE,LEUKAEMIA RECURRENT,4,925.77,101.38,8453.6,CYCLOPHOSPHAMIDE + LEUKAEMIA RECURRENT
